,County Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,Lead Max 3-Mo Avg
0,01003,,,,,-38.33333333333332,-7.4285714285714395,,,,-52.0,-29.499999999999993,,
1,01027,,,,,,,,,,-48.0,-30.833333333333346,,
2,01033,,,,,-38.33333333333332,-12.00000000000001,,,,-49.71428571428571,-28.333333333333332,,
3,01049,,,,,-39.99999999999999,-6.8571428571428505,,,,-51.42857142857142,-27.29166666666667,,
4,01051,,,,,-39.58333333333333,-11.785714285714299,,,,,,,
5,01055,,,,,-41.666666666666664,-13.142857142857157,,,,-51.42857142857142,-24.79166666666668,,
6,01069,,,,,-41.666666666666664,-13.428571428571434,,,,-55.714285714285715,-34.375,,
7,01073,-80.57142857142857,-79.55555555555556,-52.0,-74.21383647798743,-25.0,2.571428571428558,-70.66666666666667,-96.57142857142857,-95.33333333333334,-33.14285714285715,-4.999999999999993,-54.53333333333333,
8,01083,,,,,,,,,,,,,-93.33333333333333
9,01089,,,,,-36.66666666666667,-4.857142857142859,,,,-49.71428571428571,-27.833333333333332,-65.73333333333333,
10,01097,,,,,-34.999999999999986,-6.571428571428584,-82.66666666666667,-97.85714285714285,-96.66666666666667,-49.71428571428571,-29.000000000000004,-75.0,
11,01101,,,,,-36.66666666666666,-10.000000000000009,,,,-48.0,-21.666666666666668,-82.0,
12,01103,,,,,-36.66666666666666,-6.8571428571428505,,,,-51.42857142857142,-28.333333333333332,,
13,01109,,,,,,,,,,,,,140.00000000000003
14,01113,,,,,-38.33333333333332,-9.714285714285708,,,,-37.857142857142854,-12.50000000000001,,
15,01117,,,,,-29.999999999999993,-1.7142857142857237,,,,-50.0,-22.916666666666664,,
16,01121,,,,,,,,,,-46.857142857142854,-20.999999999999996,,
17,01125,,,,,-39.99999999999999,-15.142857142857158,-89.33333333333333,-99.28571428571429,-100.0,-45.714285714285715,-23.958333333333336,,
18,02020,-84.97142857142856,-59.77777777777777,,,-58.33333333333333,-34.2857142857143,,,,-44.57142857142857,-49.16666666666667,-28.800000000000004,
19,02068,,,,,-53.33333333333334,-24.85714285714287,,,,,,,
20,02090,-85.25714285714285,-68.66666666666667,-31.999999999999996,-75.47169811320755,-56.666666666666664,-37.14285714285715,-48.0,-81.42857142857143,-76.66666666666666,73.14285714285715,14.666666666666671,-26.66666666666667,
21,02110,,,,,,,,,,-34.285714285714285,-46.00000000000001,-82.88888888888889,
22,02122,,,,,,,,,,-80.0,-91.66666666666666,-28.000000000000004,
23,02170,,,,,-58.33333333333333,-35.71428571428571,,,,-3.9999999999999925,-41.666666666666664,-9.86666666666668,
24,04001,,,,,,,,,,-74.28571428571429,-72.50000000000001,-67.33333333333333,
25,04003,,,,,-36.66666666666667,-2.0000000000000018,,,,-62.857142857142854,-46.94444444444444,-12.0,
26,04005,,,,,-35.0,-0.28571428571428914,,,,-68.57142857142857,-55.00000000000001,-79.33333333333333,
27,04007,,,,,-28.333333333333332,4.2857142857142705,287.73333333333335,-68.71428571428572,-73.33333333333334,,,-17.066666666666663,22.66666666666668
28,04012,-98.85714285714286,-96.66666666666667,-95.0,-98.11320754716981,-36.66666666666667,1.1428571428571344,-96.0,-98.57142857142858,-96.66666666666667,-74.28571428571429,-81.66666666666667,-49.111111111111114,
29,04013,-87.71428571428571,-71.1111111111111,-36.8,-51.320754716981135,-18.333333333333325,12.571428571428566,-88.8,-97.28571428571429,-96.0,49.14285714285715,-7.500000000000007,59.46666666666667,-68.88888888888889
30,04017,,,,,-38.33333333333332,-4.571428571428582,,,,,,-69.86666666666666,
31,04019,-94.45714285714286,-86.66666666666667,-58.4,-80.37735849056604,-33.33333333333333,-0.28571428571428914,-93.86666666666666,-99.42857142857143,-100.0,-56.00000000000001,-51.0,28.533333333333346,-100.0
32,04021,,,,,-26.66666666666667,4.2857142857142705,,,,-4.571428571428571,15.833333333333343,283.59999999999997,
33,04023,,,,,,,,,,-23.42857142857143,-19.833333333333325,-26.5,
34,04025,,,,,-36.66666666666666,-1.4285714285714346,,,,-72.85714285714286,-64.16666666666666,-79.33333333333333,
35,04027,,,,,-26.66666666666667,7.14285714285714,,,,-40.95238095238095,-35.83333333333333,66.53333333333333,
36,05001,,,,,,,,,,-42.28571428571429,-23.5,,
37,05003,,,,,,,,,,-41.14285714285714,-26.16666666666667,,
38,05019,,,,,-39.99999999999999,-12.571428571428578,,,,,,,
39,05035,,,-61.25000000000001,-85.28301886792453,-29.999999999999993,-0.28571428571428914,,,,-38.857142857142854,-22.666666666666668,,
40,05051,,,,,,,,,,-38.28571428571428,-18.666666666666654,,
41,05067,,,,,,,,,,-35.42857142857142,-26.00000000000001,,
42,05101,,,,,-39.99999999999999,-11.714285714285722,,,,,,,
43,05113,,,,,-36.66666666666667,-7.4285714285714395,,,,-39.42857142857144,-23.666666666666668,,
44,05119,-96.0,-87.77777777777777,-53.400000000000006,-82.26415094339623,-30.000000000000004,-1.1428571428571344,-84.8,-97.14285714285714,-95.33333333333334,-28.000000000000004,-8.333333333333337,-68.93333333333334,
45,05139,,,,,,,-66.66666666666667,-94.85714285714286,-94.0,-38.857142857142854,-21.333333333333325,,
46,05143,,,,,-38.33333333333332,-6.000000000000016,,,,-45.14285714285714,-27.500000000000004,,
47,06001,-91.08571428571427,-74.44444444444444,-49.8,-68.30188679245282,-16.666666666666664,6.2857142857142945,-82.4,-97.71428571428571,-98.0,-26.285714285714278,-15.499999999999991,,
48,06005,,,,,-25.0,3.7142857142857144,,,,,,,
49,06007,-94.17142857142858,-84.44444444444444,-65.25000000000001,-86.79245283018868,-26.66666666666666,7.714285714285696,,,,-23.571428571428577,-25.624999999999996,-61.33333333333333,
50,06009,,,,,-23.33333333333333,6.2857142857142945,,,,-42.28571428571429,-31.999999999999996,-36.5,
51,06011,,,,,-41.666666666666664,-11.714285714285722,,,,-37.71428571428571,-37.0,-59.33333333333333,
52,06013,-95.02857142857142,-89.33333333333333,-61.8,-83.01886792452831,-26.66666666666667,0.5714285714285783,-82.13333333333334,-96.42857142857143,-94.66666666666667,-33.71428571428572,-23.166666666666657,-75.46666666666667,
53,06015,,,,,,,,,,,,-77.33333333333333,
54,06017,,,,,-16.666666666666664,21.999999999999996,,,,,,-62.33333333333333,
55,06019,-92.22857142857143,-78.44444444444446,-47.0,-73.20754716981132,0.0,35.7142857142857,-91.73333333333333,-98.57142857142858,-98.0,70.85714285714285,30.833333333333336,-34.13333333333334,-93.33333333333333
56,06021,,,,,-35.0,-7.714285714285718,,,,,,-50.0,
57,06023,-96.34285714285714,-90.66666666666666,-77.75,-94.71698113207547,-58.33333333333333,-34.00000000000001,-98.93333333333332,-99.42857142857143,-100.0,-53.714285714285715,-52.33333333333332,-66.66666666666667,
58,06025,-85.2,-57.333333333333336,-41.0,-76.9811320754717,-14.999999999999991,12.285714285714278,-90.22222222222223,-97.85714285714285,-97.77777777777777,5.714285714285716,17.833333333333346,123.33333333333334,-82.22222222222221
59,06027,-99.42857142857143,-97.77777777777777,,,-31.666666666666664,1.1428571428571344,,,-100.0,-16.428571428571427,-38.33333333333333,277.8666666666666,
60,06029,-95.31428571428572,-89.33333333333333,-46.599999999999994,-75.09433962264151,-6.666666666666654,29.142857142857114,,,,97.14285714285715,50.0,-33.60000000000001,
61,06031,,,-55.800000000000004,-82.26415094339623,-13.33333333333332,20.285714285714285,,,,68.57142857142857,37.5,-10.533333333333339,
62,06033,,,,,-36.66666666666666,-14.285714285714302,,,,-70.28571428571428,-68.83333333333333,-86.5,
63,06037,-86.05714285714285,-60.66666666666667,-30.799999999999994,-57.73584905660378,10.000000000000009,40.85714285714283,-88.53333333333333,-98.0,-98.66666666666667,2.1428571428571352,9.583333333333321,-41.466666666666676,-48.0
64,06039,-89.42857142857143,-86.29629629629629,-73.0,-87.73584905660378,-14.999999999999991,21.999999999999996,,,,33.714285714285694,22.83333333333333,-30.133333333333333,
65,06041,-95.19999999999999,-89.55555555555556,-56.60000000000001,-79.62264150943396,-38.33333333333332,-17.428571428571427,,,,-36.57142857142858,-25.66666666666667,-79.86666666666666,
66,06043,,,,,-26.66666666666667,9.999999999999986,,,,,,-26.333333333333332,
67,06045,,,,,-45.83333333333333,-25.0,,,,-47.857142857142854,-42.29166666666667,-73.0,
68,06047,,,-64.5,-86.0377358490566,-16.666666666666664,16.85714285714286,,,,28.57142857142858,0.5000000000000115,-55.49999999999999,
69,06051,,,,,,,,,,,,1243.3333333333333,
70,06053,-95.02857142857142,-89.11111111111111,-69.0,-90.9433962264151,-36.66666666666666,-14.57142857142858,,,,-36.0,-46.16666666666668,-52.13333333333334,
71,06055,-93.65714285714286,-84.0,-63.2,-84.90566037735849,-35.0,-14.57142857142858,,,,-26.428571428571423,-10.83333333333334,-74.66666666666666,
72,06057,,,,,-21.666666666666668,16.28571428571428,,,,-50.71428571428571,-54.16666666666667,,
73,06059,-90.4,-75.11111111111111,-41.2,-58.490566037735846,-14.999999999999991,7.714285714285696,-96.33333333333334,-99.28571428571429,-100.0,-35.0,-14.79166666666667,-50.53333333333333,
74,06061,,,-52.75000000000001,-82.64150943396227,-14.999999999999991,14.57142857142857,,,,-37.142857142857146,-37.33333333333333,-78.16666666666667,
75,06065,-92.97142857142858,-82.88888888888889,-50.2,-71.32075471698114,0.0,40.285714285714256,-95.66666666666667,-99.28571428571429,-100.0,6.2857142857142945,12.5,101.73333333333336,-93.33333333333333
76,06067,-93.08571428571429,-77.77777777777779,-52.0,-78.49056603773586,-10.000000000000009,21.71428571428573,-91.66666666666666,-95.89285714285715,-94.16666666666667,1.7142857142857126,-17.166666666666654,-61.33333333333333,
77,06069,,,,,-29.999999999999993,0.0,,,,-63.42857142857143,-60.16666666666668,-66.93333333333334,
78,06071,-82.34285714285714,-73.77777777777777,-27.400000000000002,-53.20754716981132,20.000000000000018,52.85714285714287,-93.06666666666666,-98.42857142857143,-97.33333333333334,5.000000000000004,16.249999999999986,-0.5333333333333412,-84.0
79,06073,-78.97142857142858,-68.66666666666667,-37.2,-68.67924528301886,-19.999999999999996,14.57142857142857,-98.66666666666667,-99.28571428571429,-100.0,-36.0,-16.833333333333332,-58.00000000000001,-91.66666666666666
80,06075,-95.19999999999999,-87.33333333333333,-42.39999999999999,-76.60377358490567,-46.666666666666664,-32.00000000000001,,,,-34.857142857142854,-31.500000000000007,-76.13333333333334,
81,06077,-93.48571428571428,-83.33333333333333,-48.8,-74.71698113207547,-16.666666666666664,12.857142857142856,,,,20.571428571428573,14.333333333333332,-34.93333333333334,
82,06079,,,-65.2,-89.43396226415095,-28.33333333333332,6.571428571428561,-82.13333333333334,-97.57142857142857,-99.33333333333333,-20.571428571428573,-9.666666666666668,1.333333333333342,
83,06081,-91.60000000000001,-84.22222222222221,-56.400000000000006,-79.24528301886792,-39.99999999999999,-18.571428571428562,,,,-36.57142857142858,-32.83333333333335,,-80.0
84,06083,-88.5142857142857,-78.88888888888889,-60.60000000000001,-83.39622641509435,-28.33333333333332,-2.285714285714291,-66.93333333333334,-93.85714285714286,-96.66666666666667,-51.42857142857142,-30.666666666666675,-30.533333333333335,
85,06085,-92.85714285714286,-79.33333333333333,-49.6,-71.69811320754718,-25.0,0.0,-92.26666666666667,-98.85714285714286,-99.33333333333333,-16.57142857142857,-16.000000000000004,-68.93333333333334,-31.666666666666664
86,06087,,,,,-43.33333333333332,-18.857142857142872,,,,-59.42857142857143,-51.16666666666667,,
87,06089,,,,,-28.333333333333332,4.285714285714293,,,,-54.28571428571429,-50.500000000000014,-74.53333333333333,
88,06093,,,,,-38.33333333333332,-13.428571428571434,,,,-29.52380952380952,-48.61111111111111,-63.83333333333333,
89,06095,-93.2,-78.44444444444446,-59.8,-84.15094339622642,-29.999999999999993,-4.285714285714293,-93.6,-98.57142857142858,-96.66666666666667,-22.285714285714285,-19.499999999999996,-82.26666666666667,
90,06097,-95.65714285714286,-88.22222222222223,-68.39999999999999,-88.30188679245283,-41.666666666666664,-17.428571428571438,,,,-45.714285714285715,-40.33333333333334,-73.73333333333333,
91,06099,-93.19999999999999,-80.66666666666666,-58.666666666666664,-81.60377358490565,-16.666666666666664,20.571428571428573,,,,42.285714285714285,14.833333333333321,-49.33333333333333,
92,06101,-98.28571428571429,-95.92592592592592,-54.75,-83.49056603773585,-26.66666666666666,7.14285714285714,,,,-27.142857142857146,-31.666666666666675,-65.33333333333333,
93,06103,,,,,-24.99999999999999,10.857142857142854,,,,,,-71.2,
94,06105,,,,,,,,,,,,-78.66666666666666,
95,06107,,,-48.5,-79.62264150943396,-8.333333333333337,29.714285714285694,,,,59.42857142857143,37.33333333333333,-31.166666666666664,
96,06109,,,,,-23.33333333333333,9.714285714285719,,,,,,,
97,06111,,,-62.6,-83.39622641509435,-21.666666666666668,11.42857142857141,,,,-38.857142857142854,-20.500000000000007,-48.13333333333334,
98,06113,,,-69.0,-87.9245283018868,-29.999999999999993,-0.8571428571428563,,,,-52.57142857142857,-43.666666666666664,-66.13333333333333,
99,08001,-93.31428571428572,-81.33333333333333,-38.2,-66.79245283018868,-26.66666666666667,1.7142857142857126,-70.13333333333334,-96.28571428571429,-96.66666666666667,-21.42857142857143,-24.583333333333325,-42.833333333333336,
100,08003,,,,,,,,,,,,36.39999999999999,
101,08005,,,,,-25.0,4.571428571428582,,,,-47.14285714285714,-49.16666666666667,,-86.66666666666667
102,08007,,,,,,,,,,,,-47.66666666666667,
103,08013,,,,,-22.916666666666664,6.785714285714262,,,,-30.000000000000004,-41.666666666666664,-68.0,
104,08029,,,,,,,,,,,,-62.93333333333333,
105,08031,-89.2,-75.55555555555556,-26.8,-50.943396226415096,-25.0,1.4285714285714013,-68.0,-94.71428571428572,-95.33333333333334,-20.71428571428572,-21.250000000000004,-48.0,
106,08035,,,,,-11.666666666666659,14.857142857142836,,,,-60.952380952380956,-55.55555555555556,,
107,08041,-91.37142857142857,-81.33333333333333,,,-33.33333333333333,-0.28571428571428914,-29.000000000000004,-90.71428571428571,-90.0,-50.476190476190474,-52.49999999999999,-74.22222222222223,
108,08043,,,,,,,,,,,,-69.33333333333334,
109,08045,,,-69.0,-90.56603773584906,-33.33333333333333,-0.28571428571428914,,,,-72.85714285714286,-67.91666666666667,-74.26666666666665,
110,08051,,,,,-39.58333333333333,-8.214285714285719,,,,,,-47.06666666666667,
111,08057,-99.04761904761905,-97.03703703703704,-94.0,-98.11320754716981,-43.749999999999986,-13.214285714285722,-98.0,-99.64285714285714,-100.0,,,,
112,08059,,,,,-13.33333333333332,17.142857142857125,,,,,,,
113,08067,-94.68571428571428,-90.0,-72.8,-90.18867924528303,-33.33333333333333,-0.5714285714285672,,,,-80.0,-71.66666666666667,-67.66666666666667,
114,08069,-91.88571428571429,-84.0,,,-19.999999999999996,10.571428571428566,,,,-42.85714285714286,-45.41666666666667,-61.86666666666667,
115,08077,-95.48571428571428,-89.55555555555556,,,-36.66666666666667,-5.428571428571427,,,,-26.428571428571423,-38.749999999999986,-69.19999999999999,
116,08081,,,,,-41.666666666666664,-10.000000000000009,,,,,,,
117,08083,,,,,-36.66666666666666,-3.9999999999999925,,,,-65.71428571428571,-51.24999999999999,,
118,08093,,,-95.0,-100.0,-33.33333333333333,0.28571428571428914,,,,-80.0,-79.16666666666666,-88.0,
119,08097,,,,,,,,,,,,-71.55555555555554,
120,08099,,,,,,,,,,,,97.06666666666668,
121,08101,,,,,,,,,,-57.14285714285714,-53.95833333333333,-57.60000000000001,
122,08103,,,-82.60000000000001,-96.22641509433963,-31.666666666666664,-0.28571428571428914,,,,-60.0,-34.166666666666664,,
123,08107,,,,,,,,,,,,-47.73333333333333,
124,08113,,,,,-37.499999999999986,-5.714285714285716,,,,,,-51.86666666666666,
125,08123,-92.4,-83.33333333333334,,,-25.0,3.714285714285692,,,,-18.095238095238088,-37.222222222222214,-58.5,
126,09001,-92.57142857142857,-82.0,-56.666666666666664,-83.64779874213836,-3.3333333333333326,24.285714285714267,-88.53333333333333,-96.85714285714285,-98.0,-29.14285714285714,-25.333333333333343,-75.86666666666666,
127,09003,-90.74285714285713,-81.33333333333333,-51.75000000000001,-76.60377358490567,-13.33333333333332,8.857142857142852,-93.77777777777779,-97.85714285714285,-98.33333333333333,-37.142857142857146,-29.833333333333336,-75.86666666666666,
128,09005,-92.80000000000001,-93.77777777777779,-77.25,-96.22641509433963,-19.999999999999996,3.7142857142857144,-93.86666666666666,-98.14285714285714,-100.0,-60.0,-55.833333333333336,-84.8,
129,09007,,,,,-11.666666666666659,14.57142857142857,,,,,,,
130,09009,-95.02857142857142,-85.77777777777777,-48.8,-74.33962264150944,-6.666666666666677,14.000000000000012,-82.66666666666667,-96.28571428571429,-97.33333333333334,-31.428571428571427,-26.833333333333343,-76.53333333333333,
131,09011,,,,,-16.666666666666664,11.142857142857142,,,,-45.714285714285715,-39.49999999999999,,
132,09013,,,,,-19.999999999999996,9.999999999999986,,,,,,,
133,09015,,,,,-26.66666666666667,1.4285714285714235,,,,,,,
134,10001,,,,,-33.33333333333333,0.28571428571428914,,,,-37.142857142857146,-32.08333333333334,,
135,10003,-95.19999999999999,-87.1111111111111,,-77.35849056603774,-19.999999999999996,5.714285714285716,-78.66666666666666,-96.71428571428572,-97.33333333333334,-23.42857142857143,-18.333333333333325,,
136,10005,,,-82.0,-96.22641509433963,-29.999999999999993,4.0000000000000036,-93.0,-98.39285714285715,-100.0,-38.57142857142857,-30.625000000000004,,
137,11001,-91.60000000000001,-74.8888888888889,-48.4,-73.20754716981132,-26.66666666666667,4.57142857142856,-85.6,-96.57142857142857,-96.0,-27.857142857142858,-10.20833333333333,-72.93333333333334,-98.66666666666667
138,12001,,,,,-39.99999999999999,-13.714285714285735,,,,-60.0,-50.416666666666664,,
139,12003,,,,,-39.99999999999999,-14.857142857142868,,,,,,,
140,12005,,,,,-39.99999999999999,-9.428571428571441,,,,,,,
141,12009,,,,,-41.666666666666664,-11.142857142857155,,,,-68.57142857142857,-56.666666666666664,-69.5,
142,12011,-93.42857142857143,-82.22222222222221,-56.49999999999999,-90.18867924528303,-35.0,-11.714285714285722,-89.86666666666667,-99.0,-100.0,-55.23809523809524,-46.66666666666666,-69.86666666666666,
143,12021,,,,,-43.33333333333332,-16.285714285714292,,,,,,,
144,12023,,,,,-41.666666666666664,-14.285714285714302,,,,,,,
145,12031,-93.02857142857142,-83.77777777777777,-60.5,-83.49056603773585,-31.24999999999999,-9.285714285714297,-69.6,-96.0,-98.66666666666667,-50.476190476190474,-34.16666666666666,-70.44444444444444,
146,12033,,,,,-31.666666666666664,-5.1428571428571495,-71.66666666666667,-97.32142857142857,-97.33333333333334,-54.28571428571429,-36.25000000000001,,
147,12035,,,,,-41.666666666666664,-12.571428571428578,,,,,,,
148,12047,,,,,,,-65.99999999999999,-94.64285714285714,-96.66666666666667,,,,
149,12055,,,,,-39.99999999999999,-13.142857142857157,,,,,,,
150,12057,-96.05714285714285,-91.55555555555556,-63.66666666666667,-84.90566037735849,-28.33333333333332,0.8571428571428674,0.2666666666666595,-81.0,-95.33333333333334,-32.85714285714286,-27.083333333333336,-64.4,145.33333333333337
151,12059,,,,,-41.666666666666664,-13.714285714285735,,,,,,,
152,12061,,,,,-39.99999999999999,-10.285714285714299,,,,,,,
153,12069,,,,,-36.66666666666666,-9.142857142857142,,,,,,,
154,12071,,,,,-39.99999999999999,-10.857142857142865,,,,-60.0,-50.27777777777778,-68.93333333333334,
155,12073,,,,,-36.66666666666667,-11.142857142857155,,,,-44.285714285714285,-32.91666666666666,,
156,12077,,,,,-46.666666666666664,-17.714285714285726,,,,,,,
157,12081,,,,,-35.0,-8.000000000000007,-86.66666666666667,-97.85714285714285,-96.66666666666667,,,,
158,12083,,,,,-43.33333333333332,-12.00000000000001,,,,,,,
159,12085,,,,,-39.58333333333333,-12.50000000000001,,,,,,,
160,12086,-92.34285714285716,-86.66666666666667,-57.400000000000006,-84.15094339622642,-33.33333333333333,-9.142857142857142,-98.93333333333332,-99.85714285714286,-100.0,-56.19047619047619,-41.11111111111111,-65.0,
161,12089,,,,,,,-24.33333333333333,-88.92857142857142,-95.0,,,,
162,12091,,,,,-38.33333333333332,-10.857142857142865,,,,,,-64.88888888888889,
163,12095,-95.65714285714286,-86.66666666666667,-68.19999999999999,-91.32075471698113,-29.999999999999993,-6.8571428571428505,-94.66666666666667,-99.14285714285714,-100.0,-60.0,-47.083333333333336,-79.86666666666666,
164,12097,,,,,-38.33333333333332,-8.857142857142875,,,,,,,
165,12099,,,,-92.45283018867924,-39.99999999999999,-12.571428571428578,,,,-56.00000000000001,-49.5,-26.44444444444445,
166,12101,,,,,-38.33333333333332,-8.000000000000007,,,,,,,
167,12103,-94.8,-90.44444444444444,-69.0,-91.32075471698113,-35.0,-8.857142857142875,-85.86666666666667,-98.0,-99.33333333333333,-54.28571428571429,-43.611111111111114,-76.66666666666666,
168,12105,,,,,-33.33333333333333,-6.8571428571428505,-66.66666666666667,-97.14285714285714,-98.33333333333333,-61.42857142857143,-49.583333333333336,-70.39999999999999,
169,12107,,,,,,,-70.13333333333334,-97.14285714285714,-98.33333333333333,,,-65.33333333333333,
170,12111,,,,,-41.666666666666664,-12.142857142857155,,,,,,,
171,12113,,,,,-35.0,-7.4285714285714395,,,,,,,
172,12115,,,-85.33333333333333,-95.59748427672956,-33.33333333333333,-6.285714285714283,,,,-51.42857142857142,-48.74999999999999,-68.26666666666667,
173,12117,,,,,-38.33333333333332,-10.000000000000009,,,,-50.0,-50.0,-70.39999999999999,
174,12127,,,,,-41.666666666666664,-13.142857142857157,,,,-65.71428571428571,-52.500000000000014,-74.16666666666667,
175,12129,-96.28571428571429,-94.44444444444444,,,-43.749999999999986,-13.571428571428578,,,,,,,
176,13015,,,,,,,,,,,,,-86.66666666666667
177,13021,,,,,-29.999999999999993,-4.857142857142859,-84.26666666666667,-97.71428571428571,-96.66666666666667,-35.42857142857142,-11.499999999999988,-71.33333333333334,
178,13051,,,,,-36.66666666666667,-15.714285714285726,-12.53333333333334,-84.28571428571429,-91.33333333333333,-39.28571428571429,-26.249999999999986,-82.0,
179,13055,,,,,-39.99999999999999,-10.285714285714299,,,,,,-86.0,
180,13059,,,,,-36.66666666666666,-7.4285714285714395,,,,-38.57142857142857,-23.54166666666666,,
181,13063,,,,,,,,,,-45.14285714285714,-16.500000000000004,,
182,13067,,,,,-29.166666666666675,-0.7142857142857117,,,,-47.14285714285714,-21.041666666666657,,
183,13073,,,,,-36.66666666666667,-10.000000000000009,,,,,,,
184,13077,,,,,-34.999999999999986,-10.285714285714299,,,,,,,
185,13085,,,,,-36.66666666666666,-8.000000000000007,,,,,,,
186,13089,-95.88571428571429,-86.0,-49.6,-75.47169811320755,-23.33333333333333,3.4285714285714253,-92.0,-98.71428571428571,-100.0,-33.14285714285715,-4.0000000000000036,-69.19999999999999,-100.0
187,13095,,,,,,,,,,-13.333333333333341,-13.33333333333333,-80.66666666666666,
188,13097,,,,,-29.999999999999993,-2.285714285714291,,,,,,,
189,13115,,,,,,,-38.66666666666667,-92.14285714285715,-95.33333333333334,-45.714285714285715,-19.166666666666675,-78.0,
