,County Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,Lead Max 3-Mo Avg
0,01003,,,,,-21.666666666666668,9.999999999999986,,,,-20.952380952380945,-1.9444444444444486,,
1,01027,,,,,-23.33333333333333,7.714285714285696,,,,-12.0,10.333333333333329,,
2,01033,,,,,-25.0,6.571428571428561,-26.66666666666667,-91.57142857142857,-93.33333333333333,-13.571428571428568,5.208333333333348,,
3,01049,,,,,-26.66666666666666,9.714285714285719,,,,-7.857142857142863,18.75,,
4,01051,,,,,-26.66666666666666,4.0000000000000036,,,,,,,
5,01053,,,,,,,,,,-17.14285714285714,7.000000000000006,-74.66666666666666,
6,01055,,,,,-26.66666666666666,6.285714285714272,,,,-2.857142857142858,21.666666666666657,-63.66666666666667,
7,01071,,,,-94.33962264150944,-33.33333333333333,4.2857142857142705,53.33333333333334,-87.42857142857143,-90.66666666666667,,,,
8,01073,-49.142857142857146,-5.1111111111111,,,-8.333333333333314,19.999999999999996,-18.000000000000004,-89.64285714285715,-89.16666666666666,25.14285714285713,53.49999999999999,13.600000000000012,
9,01079,,,,,-28.33333333333332,4.57142857142856,,,,,,,
10,01089,,,,,-21.666666666666668,10.857142857142854,,,,-6.8571428571428505,14.500000000000002,-68.13333333333334,
11,01091,,,,,,,,,,,,-73.33333333333334,
12,01097,-95.0,-83.88888888888889,,,-16.666666666666664,13.142857142857146,-68.44444444444444,-94.76190476190476,-95.55555555555556,-16.000000000000004,5.999999999999983,-46.4,
13,01101,,,,,-26.66666666666667,0.8571428571428674,,,,-9.142857142857142,22.166666666666668,-70.5,
14,01103,,,,,-19.999999999999996,13.428571428571413,,,,-9.714285714285708,10.83333333333334,,
15,01109,,,,,,,,,,,,-67.77777777777779,
16,01113,,,,,-25.0,0.0,,,,0.0,31.25,-72.66666666666667,
17,01117,,,,,-11.666666666666659,22.571428571428577,,,,-5.714285714285716,17.500000000000004,,
18,01119,,,,,-36.66666666666666,-4.571428571428582,,,,-19.285714285714285,-1.041666666666663,,
19,01121,,,,,-22.22222222222222,3.809523809523796,,,,-7.14285714285714,19.999999999999996,-70.66666666666667,
20,01125,,,,,-26.66666666666667,6.2857142857142945,,,,-13.333333333333341,11.388888888888893,,
21,01127,,,,,-8.333333333333325,18.571428571428573,,,,-4.761904761904756,13.888888888888884,,
22,02020,-72.62857142857142,-30.22222222222223,,,,,,,,-36.57142857142858,-45.00000000000001,-16.000000000000004,
23,02068,,,,,-50.0,-24.28571428571429,,,,-60.0,-79.16666666666666,,
24,02090,-74.4,-45.55555555555555,,,,,,,,319.28571428571433,77.29166666666669,,
25,02110,,,,,,,,,,-18.571428571428573,-38.75000000000001,-79.66666666666666,
26,02170,,,,,,,,,,-14.28571428571429,-46.111111111111114,-42.00000000000001,
27,04003,,,,,-33.33333333333333,3.714285714285692,,,,-49.523809523809526,-41.11111111111111,-52.400000000000006,
28,04005,,,,,-30.000000000000004,6.571428571428561,,,,-54.28571428571429,-46.111111111111114,-74.66666666666666,
29,04007,,,,,-16.666666666666664,16.428571428571416,257.3333333333333,-72.28571428571429,-71.33333333333334,-39.04761904761905,-23.33333333333333,-39.86666666666666,
30,04009,,,,,,,,,,,,-67.33333333333333,
31,04013,-78.62857142857142,-43.333333333333336,-13.249999999999995,-38.49056603773585,-5.000000000000004,22.857142857142843,-80.26666666666667,-94.42857142857143,-92.66666666666666,-13.714285714285712,-0.49999999999998934,32.00000000000001,
32,04019,-84.91428571428573,-72.88888888888889,-48.8,-69.43396226415095,-26.66666666666667,9.42857142857143,-80.53333333333333,-97.42857142857143,-96.66666666666667,-60.0,-48.33333333333333,-18.666666666666664,
33,04021,,,,,-11.666666666666659,17.428571428571438,-86.33333333333333,-97.32142857142857,-94.16666666666667,-26.857142857142858,-10.499999999999998,128.83333333333334,
34,04023,,,,,,,,,,1.1428571428571344,5.3333333333333455,12.93333333333333,
35,04025,,,,,-27.777777777777768,6.190476190476213,,,,,,-82.0,
36,05001,,,,,,,,,,-16.57142857142857,1.5000000000000124,,
37,05003,,,,,,,,,,-15.428571428571425,1.333333333333342,,
38,05019,,,,,-27.083333333333325,3.928571428571437,,,,,,,
39,05035,,,-48.0,-77.35849056603774,-3.3333333333333326,27.71428571428569,,,,-8.571428571428575,5.208333333333326,,
40,05045,,,,,,,,,,-16.000000000000004,4.666666666666663,,
41,05051,,,,,,,,,,-15.714285714285714,-2.7083333333333237,,
42,05069,,,,,,,,,,-17.14285714285714,2.083333333333326,,
43,05089,,,,,,,,,,-40.0,-25.83333333333333,,
44,05091,,,,,,,,,,-2.857142857142858,5.000000000000004,,
45,05093,,,,,,,,,,-6.666666666666677,6.388888888888888,,
46,05097,,,,,-36.11111111111111,-5.23809523809523,,,,,,,
47,05101,,,,,-29.999999999999993,6.571428571428561,,,,,,,
48,05107,,,,,,,,,,-17.14285714285714,-2.1666666666666834,,
49,05113,,,,,-33.33333333333333,5.714285714285694,,,,-25.0,-7.708333333333339,,
50,05115,,,,,,,,,,-20.571428571428573,3.0000000000000027,,
51,05119,-89.60000000000001,-69.55555555555554,-45.20000000000001,-74.71698113207547,-14.999999999999991,17.142857142857125,-84.8,-95.42857142857143,-92.0,-9.142857142857142,14.833333333333343,-69.5,
52,05131,,,,,,,,,,-30.714285714285715,-3.749999999999998,,
53,05143,,,,,,,,,,-30.000000000000004,-11.249999999999993,,
54,05145,,,,,,,,,,-21.142857142857142,1.0000000000000009,,
55,06001,-86.45714285714286,-65.11111111111111,-47.199999999999996,-69.43396226415095,0.0,17.999999999999993,-80.0,-95.71428571428572,-93.33333333333333,0.5714285714285783,-12.666666666666659,-70.8,
56,06005,-92.85714285714286,-84.44444444444444,,,-9.999999999999986,21.714285714285708,,,,,,,
57,06007,-89.4857142857143,-71.1111111111111,-55.60000000000001,-80.37735849056604,-16.666666666666664,24.00000000000002,,,,43.99999999999999,10.333333333333329,-57.733333333333334,
58,06009,-96.57142857142857,-92.22222222222223,,,-3.3333333333333326,33.14285714285712,,,,-36.57142857142858,-30.500000000000004,-77.46666666666667,
