,County Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,Lead Max 3-Mo Avg
0,01003,,,,,-25.0,4.57142857142856,,,,-40.95238095238095,-14.999999999999991,,
1,01027,,,,,-25.0,15.714285714285703,,,,-25.0,-8.958333333333323,,
2,01033,,,,,-33.33333333333333,-4.285714285714293,,,,-26.428571428571423,-3.9583333333333415,,
3,01049,,,,,-31.666666666666664,1.4285714285714013,,,,-28.57142857142857,-3.5416666666666763,,
4,01051,,,,,-33.33333333333333,-1.7142857142857237,,,,,,,
5,01053,,,,,,,,,,-11.428571428571432,10.83333333333334,,
6,01055,,,,,-35.0,-6.571428571428584,,,,-26.428571428571423,0.2083333333333437,,
7,01069,,,,,-38.33333333333332,-6.571428571428584,,,,-21.42857142857143,-8.958333333333323,,
8,01073,-66.17142857142856,-30.88888888888889,,,-13.33333333333332,14.857142857142836,-37.33333333333333,-93.0,-92.66666666666666,-5.142857142857138,27.16666666666667,-7.466666666666654,
9,01079,,,,,-25.0,12.857142857142856,,,,,,,
10,01089,,,,,-28.33333333333332,4.0000000000000036,,,,-26.857142857142858,-0.9999999999999898,-73.06666666666666,
11,01097,,,,,-23.33333333333333,7.999999999999985,,,,-41.14285714285714,-15.000000000000002,-62.22222222222222,
12,01101,,,,,-28.333333333333332,1.4285714285714235,,,,-29.52380952380952,-1.9444444444444375,-69.46666666666668,
13,01103,,,,,-29.999999999999993,0.28571428571428914,,,,-25.142857142857146,-4.333333333333334,,
14,01109,,,,,,,,,,,,,546.6666666666666
15,01113,,,,,-31.666666666666664,-1.1428571428571344,,,,-5.714285714285716,9.166666666666657,,
16,01117,,,,,-16.666666666666664,12.571428571428566,,,,-20.71428571428572,-1.8750000000000155,,
17,01119,,,,,-41.666666666666664,-10.571428571428577,,,,,,,
18,01125,,,,,-36.66666666666667,-7.714285714285718,,,,-19.999999999999996,2.708333333333335,,
19,01127,,,,,,,,,,-28.57142857142857,-0.6249999999999978,,
20,02020,-75.4857142857143,-40.222222222222214,,,-58.33333333333333,-34.2857142857143,,,,-41.42857142857142,-49.375,-26.8,
21,02068,,,,,-48.33333333333333,-20.000000000000018,,,,,,,
22,02090,-83.82857142857144,-61.555555555555564,,,,,,,,118.85714285714286,6.8333333333333135,,
23,02110,,,,,,,,,,-12.857142857142856,-38.33333333333333,-84.44444444444444,
24,02170,,,,,-58.33333333333333,-30.000000000000004,,,,-21.904761904761905,-51.388888888888886,-40.666666666666664,
25,04001,,,,,,,,,,-72.85714285714286,-71.66666666666667,-56.333333333333336,
26,04003,,,,,-35.0,-1.1428571428571344,,,,-62.28571428571429,-42.833333333333336,-48.93333333333334,
27,04005,,,,,-33.33333333333333,-0.28571428571428914,,,,-49.28571428571429,-46.458333333333336,-74.66666666666666,
28,04007,,,,,-25.0,6.285714285714272,261.59999999999997,-71.28571428571429,-69.33333333333334,-37.142857142857146,-21.666666666666668,-37.6,80.00000000000003
29,04009,,,,,,,,,,,,-64.0,
30,04013,-83.82857142857144,-63.33333333333334,-29.599999999999994,-50.943396226415096,-18.333333333333325,12.571428571428566,-87.2,-96.85714285714285,-94.0,5.142857142857138,-6.999999999999995,86.26666666666665,
31,04015,,,,,,,,,,,,-71.33333333333334,
32,04017,,,,,-35.0,-2.857142857142858,,,,,,-65.33333333333333,
33,04019,-92.68571428571428,-83.33333333333334,-53.0,-76.60377358490567,-29.999999999999993,2.571428571428558,-87.73333333333333,-98.57142857142858,-97.33333333333334,-63.42857142857143,-53.33333333333334,-11.6,
34,04021,,,,,-21.666666666666668,7.14285714285714,,,,7.428571428571429,36.50000000000002,583.7333333333332,
35,04023,,,,,,,,,,-11.428571428571432,-1.8333333333333424,16.666666666666675,
36,04025,,,,,-38.88888888888887,-5.23809523809523,,,,-72.3809523809524,-62.22222222222222,-72.16666666666667,
37,04027,-92.28571428571428,-86.66666666666667,,,-26.66666666666667,5.714285714285694,,,,-52.85714285714286,-28.541666666666654,44.13333333333333,
38,05001,,,,,,,,,,-30.285714285714292,-6.666666666666677,,
39,05003,,,,,,,,,,-29.714285714285715,-9.333333333333327,,
40,05019,,,,,-37.499999999999986,-7.142857142857151,,,,,,,
41,05035,,,-52.400000000000006,-81.13207547169812,-16.666666666666664,11.142857142857142,,,,-26.857142857142858,-2.166666666666661,,
42,05045,,,,,,,,,,-36.57142857142858,-6.833333333333336,,
43,05051,,,,,,,,,,-27.428571428571434,-7.333333333333325,,
44,05067,,,,,,,,,,-26.857142857142858,-9.500000000000009,,
45,05101,,,,,-36.66666666666666,-2.285714285714291,,,,,,,
46,05107,,,,,,,,,,-30.285714285714292,-6.999999999999995,,
47,05113,,,,,-31.666666666666664,4.285714285714293,,,,-34.285714285714285,-8.666666666666679,,
48,05115,,,,,,,,,,-30.85714285714286,-2.833333333333332,,
49,05119,-93.94285714285714,-82.22222222222221,-55.2,-81.50943396226415,-18.333333333333325,8.285714285714274,-82.4,-96.42857142857143,-92.66666666666666,-21.142857142857142,2.6666666666666616,-73.46666666666667,
50,05131,,,,,,,,,,-29.52380952380952,-4.999999999999993,,
51,05139,,,,,,,-65.33333333333333,-96.42857142857143,-92.66666666666666,-31.999999999999996,-5.333333333333334,,
52,05143,,,,,-29.999999999999993,-3.9999999999999925,,,,-35.71428571428571,-8.958333333333323,,
53,05145,,,,,,,,,,-30.285714285714292,-7.500000000000007,,
54,06001,-91.08571428571427,-78.88888888888889,-49.0,-70.9433962264151,-9.999999999999986,9.42857142857143,-85.0,-97.85714285714285,-96.66666666666667,-9.714285714285708,-23.0,-71.33333333333334,
55,06005,,,,,-18.333333333333325,10.571428571428566,,,,,,,
56,06007,-92.17142857142858,-78.0,-65.0,-84.15094339622642,-21.666666666666668,13.714285714285701,,,,43.99999999999999,-4.666666666666675,-59.46666666666667,
57,06009,,,,,-18.333333333333325,14.857142857142836,,,,-22.142857142857142,-33.95833333333332,-82.22222222222221,
58,06011,,,,,-33.33333333333333,-6.8571428571428505,,,,-19.999999999999996,-44.166666666666664,-62.53333333333333,
59,06013,-94.22857142857143,-87.33333333333333,-61.0,-80.75471698113208,-16.666666666666664,7.714285714285696,-70.13333333333334,-94.85714285714286,-94.0,-6.8571428571428505,-29.000000000000004,-69.33333333333334,
60,06017,,,,,-5.000000000000004,29.428571428571427,,,,,,-71.66666666666667,
61,06019,-91.37142857142857,-76.0,-42.6,-72.45283018867926,5.000000000000004,44.85714285714284,-90.66666666666666,-97.61904761904762,-95.55555555555556,74.28571428571429,40.50000000000003,-47.73333333333333,
62,06021,,,,,-35.0,-4.857142857142859,,,,,,-59.199999999999996,
63,06023,-95.37142857142857,-86.22222222222223,-78.0,-94.33962264150944,-58.33333333333333,-33.71428571428573,-94.33333333333334,-98.21428571428571,-98.33333333333333,-36.42857142857143,-42.708333333333336,-66.66666666666667,
64,06025,-75.94285714285715,-39.33333333333334,-32.8,-73.58490566037736,3.3333333333333437,18.85714285714286,-88.26666666666667,-97.71428571428571,-98.66666666666667,-22.285714285714285,-8.833333333333327,-0.40000000000000036,-86.66666666666667
65,06027,,,,,-28.33333333333332,7.428571428571451,,,,10.285714285714299,-41.0,534.2666666666667,
66,06029,-93.35714285714286,-82.5,-38.4,-67.54716981132076,10.000000000000009,45.71428571428571,,,,74.28571428571429,57.833333333333336,-26.933333333333344,
67,06031,,,-57.00000000000001,-81.13207547169812,-6.666666666666677,27.999999999999957,,,,57.714285714285715,50.66666666666666,-9.733333333333327,
68,06033,,,,,-41.666666666666664,-15.142857142857158,,,,-48.57142857142858,-65.33333333333333,,
69,06037,-83.2,-53.55555555555556,-19.799999999999997,-47.16981132075472,15.000000000000014,47.428571428571416,-74.13333333333334,-95.57142857142857,-96.0,14.28571428571428,30.000000000000004,-34.533333333333324,200.0
70,06039,,,-61.25000000000001,-83.01886792452831,-14.999999999999991,17.714285714285705,,,,68.57142857142857,70.0,,
71,06041,-94.57142857142857,-87.77777777777777,-56.00000000000001,-76.22641509433963,-39.99999999999999,-24.571428571428577,,,,-28.57142857142857,-17.499999999999993,-76.66666666666666,
72,06043,-97.42857142857143,-93.33333333333333,,,-18.333333333333325,18.285714285714285,,,,,,-58.88888888888889,
73,06045,-91.42857142857143,-73.88888888888889,-67.66666666666666,-87.42138364779875,-36.66666666666667,-26.5714285714286,,,,-40.714285714285715,-37.291666666666664,-53.11111111111111,
74,06047,,,-58.75,-84.90566037735849,-9.999999999999986,26.857142857142847,,,,29.285714285714292,15.833333333333343,-57.06666666666666,
75,06051,,,,,,,,,,,,980.2666666666667,
76,06053,-95.77142857142857,-90.22222222222223,-66.39999999999999,-87.9245283018868,-39.99999999999999,-14.57142857142858,,,,-58.857142857142854,-45.333333333333336,-68.33333333333333,
77,06055,-92.68571428571428,-82.66666666666667,-61.6,-82.26415094339623,-30.000000000000004,-9.428571428571441,,,,,,-73.73333333333333,
78,06057,,,-80.0,-93.39622641509435,-18.333333333333325,18.571428571428573,,,,-30.85714285714286,-48.83333333333334,,
79,06059,-87.65714285714286,-74.0,-34.25,-63.39622641509435,-10.000000000000009,14.28571428571428,-90.66666666666666,-98.03571428571428,-96.66666666666667,-8.571428571428575,-3.833333333333322,-56.666666666666664,
80,06061,,,-47.4,-79.24528301886792,-6.666666666666677,24.857142857142843,,,,-32.57142857142856,-29.833333333333336,-78.0,
81,06063,,,,,,,,,,32.00000000000001,-3.0000000000000138,,
82,06065,-91.02857142857142,-78.66666666666666,-43.00000000000001,-64.90566037735849,13.333333333333353,48.85714285714285,-86.33333333333333,-97.5,-96.66666666666667,30.85714285714285,42.333333333333314,43.466666666666654,-93.33333333333333
83,06067,-90.11428571428571,-69.33333333333334,-46.20000000000001,-74.33962264150944,5.000000000000004,39.99999999999999,-96.33333333333334,-98.75,-99.16666666666667,35.42857142857143,-1.8333333333333202,-55.06666666666666,
84,06069,,,,,-25.0,6.285714285714272,,,,-54.28571428571429,-49.83333333333334,-78.5,
85,06071,-91.54285714285714,-81.33333333333333,-29.599999999999994,-55.471698113207545,25.0,64.57142857142854,-86.4,-96.0,-94.66666666666667,6.428571428571428,18.333333333333336,-19.600000000000005,-93.33333333333333
86,06073,-86.45714285714286,-64.66666666666666,-23.2,-59.24528301886792,-6.666666666666677,23.42857142857142,-78.93333333333334,-96.28571428571429,-92.0,-8.571428571428575,6.166666666666654,-19.199999999999996,
